Time	"Time Code"	"Country Name"	"Country Code"	"Children out of school"	"CO2 emissions (kt)"	"Non-renewable lectricity production (% of total)"	"Renewable electricity production excluding hydroelectric (% of total)"	"Life expectancy (years)"	"Population"	"Rural population"	"Urban population"	"Surface area (sq. km)"
2013	"YR2013"	"Spain"	"ESP"	"24579"	"237034.88"	"40.0188313880154"	"26.4851036614614"	"83.0780487804878"	"46620045"	"9728205"	"36891840"	"505940"
2013	"YR2013"	"Sri Lanka"	"LKA"	"61804"	"15489.408"	"40.1230973966564"	"2.33718705813857"	"74.741"	"20585000"	"16838942"	"3746058"	"65610"
2013	"YR2013"	"St. Kitts and Nevis"	"KNA"	""	"223.687"	""	""	""	"53169"	"36706"	"16463"	"260"
2013	"YR2013"	"St. Lucia"	"LCA"	""	"407.037"	""	""	"74.947"	"175660"	"143231"	"32429"	"620"
2013	"YR2013"	"St. Martin (French part)"	"MAF"	""	""	""	""	"79.1707317073171"	"31264"	""	""	"54.4"
2013	"YR2013"	"St. Vincent and the Grenadines"	"VCT"	"484"	"209.019"	""	""	"72.802"	"109320"	"54492"	"54828"	"390"
2013	"YR2013"	"Sudan"	"SDN"	""	"15474.74"	"19.146246596655"	"0"	"63.712"	"36849918"	"24502616"	"12347302"	"1879357.5"
2013	"YR2013"	"Suriname"	"SUR"	"5049"	"1917.841"	"40.0641025641026"	"0"	"70.976"	"542540"	"183704"	"358836"	"163820"
2013	"YR2013"	"Sweden"	"SWE"	"1980"	"44847.41"	"1.69442792636786"	"13.9363919728682"	"81.9560975609756"	"9600379"	"1350197"	"8250182"	"447420"
2013	"YR2013"	"Switzerland"	"CHE"	"1720"	"40226.99"	"1.18597206053551"	"3.22613504074505"	"82.7975609756098"	"8089346"	"2129601"	"5959745"	"41290"
2013	"YR2013"	"Syrian Arab Republic"	"SYR"	"667202"	"36438.979"	"87.9677535795933"	"0"	"70.046"	"19809141"	"9403597"	"10405544"	"185180"
2013	"YR2013"	"Tajikistan"	"TJK"	"16590"	"3479.983"	"0.25708442886357"	"0"	"70.477"	"8177809"	"6003411"	"2174398"	"142550"
